shared_buffers,work_mem,random_page_cost,effective_io_concurrency,max_wal_size,max_parallel_workers_per_gather,max_parallel_workers,max_worker_processes,checkpoint_timeout,checkpoint_completion_target,effective_cache_size,temp_buffers,wal_buffers,bgwriter_lru_maxpages,bgwriter_delay,default_statistics_target,deadlock_timeout,Throughput,Timestamp
3072,17408,1.1,100,16,8,4,4,5,0.9,524288,1536,2560,100,500,85,6000,-274.910160699708,152517908
1536,27648,2.0,1,32,2,4,10,5,0.9,8388608,7680,14848,1000,150,100,8000,-250.54274691394932,154851863
2048,13312,2.0,1,32,8,8,10,10,0.9,2016383,2560,2560,500,150,85,500,-224.82527350545925,157063520
2048,14336,2.0,1,32,8,8,10,10,0.9,2016383,2560,512,100,150,85,500,-153.4515126926516,158934006
5632,17408,5.5,400,20,4,4,10,10,0.9,524288,512,6656,50,500,95,6000,-248.9166341042223,161081992
2048,14336,2.0,1,64,8,8,4,10,0.9,2016383,2560,512,100,150,85,500,-184.86643744399245,163376013
6656,15360,0.5,300,20,4,8,10,10,0.9,524288,2560,2560,50,150,100,3000,-107.8732484230633,165485322
2048,14336,2.0,1,32,8,8,4,10,0.9,2016383,2560,512,1000,150,85,500,-259.25140212091884,167407158
6144,14336,1.0,200,20,8,4,4,10,0.9,2016383,1024,1536,100,200,85,500,-272.483228527655,169722282
7680,13312,1.1,100,4,2,8,10,5,0.9,524288,512,1536,100,500,75,1000,-191.21665846187855,172198028
6656,17408,0.1,400,8,8,8,4,10,0.9,524288,1536,2560,50,500,100,1000,-108.56072756659981,174422409
2560,14336,2.0,1,32,8,8,4,10,0.9,2016383,2560,512,100,150,85,500,-309.31320927296036,176383112
7680,35840,2.5,300,4,2,8,4,10,0.9,4194304,4608,7680,100,300,85,1000,-257.5046981092171,178609294
5120,35840,0.1,300,4,16,4,4,10,0.9,524288,1536,1536,1000,500,95,6000,-248.94340051728196,180842316
2048,13312,2.0,1,24,8,8,4,10,0.9,2016383,2560,2560,100,150,85,500,-165.81977385222876,182846303
7680,17408,2.5,200,8,16,8,10,10,0.9,6291456,512,512,50,300,115,1000,-355.9946596631721,184685452
4608,14336,8.0,1,4,16,8,4,5,0.9,6291456,1536,9728,50,200,125,500,-331.8049243949299,187124938
2560,11264,4.5,300,8,8,4,4,5,0.9,524288,15872,6656,50,250,85,8000,-306.79206920754007,189348303
6144,14336,0.1,200,16,1,4,4,5,0.9,2016383,1024,1536,100,300,115,1000,-197.89527517112887,191416046
7680,6144,4.0,400,24,1,8,10,10,0.9,524288,2560,2560,50,300,95,6000,-250.71498452461756,193351670
2048,15360,2.0,1,32,8,8,4,10,0.9,2016383,2560,512,100,150,85,500,-328.51769272587114,195296993
2048,21504,2.0,200,32,8,8,4,10,0.9,2016383,2560,512,100,150,85,500,-384.8583157158025,197430599
2048,21504,2.0,200,32,8,8,4,10,0.9,2016383,1536,512,100,150,85,500,-300.08635323497316,199565755
7680,17408,2.5,200,16,16,8,10,10,0.9,6291456,512,512,50,300,115,1000,-174.20820757271863,201349306
2048,23552,2.0,200,32,2,8,4,10,0.9,2016383,2560,512,100,150,85,500,-314.3644227909003,203202939
1024,6990,5.5,100,64,1,4,4,5,0.9,524288,3584,9728,2000,300,85,8000,-191.84855460498488,205434543
7680,19456,8.0,300,4,16,4,4,10,0.9,2016383,4608,6656,1000,200,95,1000,-356.3611216949796,207641894
4608,6990,8,300,4,16,8,4,5,0.9,2016383,512,4608,500,250,115,500,-231.37159262621455,209637784
7168,17408,7.0,300,4,16,8,10,10,0.9,524288,1536,10752,1500,150,75,1000,-394.21673495860813,211466185
768,17408,6.5,200,4,16,4,4,10,0.9,2016383,1536,10752,1000,150,75,1000,-176.06333152288548,213148521
7680,25600,7.0,400,24,16,8,10,10,0.9,1048576,6656,8192,1500,150,75,1000,-413.04024504566905,215330977
4608,46080,7.5,300,8,16,4,10,10,0.9,524288,2560,1536,1500,250,75,500,-284.4582812893203,217533453
7168,21504,7.5,400,16,16,8,4,5,0.9,1572864,1024,5632,2000,150,85,6000,-134.69227288088248,219647687
5632,5120,7.5,200,8,8,4,4,10,0.9,1048576,1536,3584,100,300,85,6000,-282.10983616926467,221423465
7680,25600,7.0,400,24,8,8,10,10,0.9,1048576,6656,8192,1500,150,75,1000,-304.50311925038534,223586833
7680,25600,7.5,400,24,16,8,10,10,0.9,524288,6656,8192,1500,150,75,1000,-403.50985628996466,226089132
7680,29696,8.0,100,24,16,8,10,10,0.9,1048576,7680,10752,1500,250,75,500,-300.4162719784818,228143902
