shared_buffers,work_mem,random_page_cost,effective_io_concurrency,max_wal_size,max_parallel_workers_per_gather,max_parallel_workers,max_worker_processes,checkpoint_timeout,checkpoint_completion_target,effective_cache_size,temp_buffers,wal_buffers,bgwriter_lru_maxpages,bgwriter_delay,default_statistics_target,deadlock_timeout,Throughput,Timestamp
1024,11264,0.5,200,8,8,8,4,5,0.9,3145728,3584,512,100,250,100,1000,-1079.4162938547852,340516040.0
2048,6990,1.1,1,8,1,4,4,10,0.9,4194304,3584,14848,1500,200,125,8000,-1059.4383319931437,343789358.0
1792,30720,7.0,100,4,16,4,10,10,0.9,3145728,5632,5632,50,300,125,6000,-1004.2376100823154,347263342.0
3072,30720,3.0,1,24,1,4,4,10,0.9,3145728,1536,2560,1500,200,75,500,-998.1005421806581,350391597.0
4608,12288,2.5,1,24,2,8,4,10,0.9,3145728,11776,8704,500,200,125,500,-1074.1111326622213,353576728.0
896,10240,3.0,300,24,8,4,4,10,0.9,2016383,12800,12800,1000,150,75,1000,-1009.6854186420497,356908100.0
4608,6144,8.0,100,16,1,4,4,10,0.9,3145728,10752,8704,1500,150,125,1000,-1039.4555794898085,360145147.0
2560,4096,1.1,100,20,2,4,4,10,0.9,3145728,8704,1536,50,200,125,500,-1076.8065284711115,363332535.0
4096,19456,0.5,1,4,4,4,4,5,0.9,3145728,5632,512,100,200,115,500,-1015.1830511006013,366809346.0
3584,4096,0.5,1,16,8,8,4,10,0.9,3145728,1536,11776,500,300,125,6000,-1045.3244516889965,370227511.0
5120,4096,7.0,1,16,1,4,4,10,0.9,3145728,8704,2560,2000,250,75,500,-1062.7930695250664,373434840.0
5120,9216,6.0,1,16,4,4,4,10,0.9,3145728,3584,7680,1500,200,85,3000,-946.8958096476903,377032241.0
3584,46080,4.0,1,16,1,4,4,5,0.9,524288,14848,10752,50,200,125,1000,-1027.6282070138486,380686658.0
1536,30720,0.5,400,64,1,4,4,10,0.9,4194304,9728,1536,50,300,85,500,-1046.72154104787,384012161.0
2560,6144,4.0,1,32,16,8,4,10,0.9,6291456,4608,14848,100,200,115,8000,-970.7281794761527,387607569.0
3584,46080,3.5,1,4,1,4,4,10,0.9,524288,14848,8704,500,200,95,1000,-998.692146152087,390639565.0
5120,51200,5.5,200,20,16,8,10,5,0.9,6291456,11776,7680,1000,150,75,500,-922.7669510053715,393713514.0
7168,25600,1.1,400,16,16,4,4,5,0.9,6291456,4608,8192,1000,300,115,500,-975.9757133966604,397015229.0
768,6144,7.0,200,4,4,8,4,5,0.9,1572864,12800,10752,1000,200,75,1000,-950.9782582742043,400225058.0
4096,7168,3.5,1,24,4,4,10,5,0.9,1048576,7680,1536,100,300,85,1000,-1024.3836018597972,403355967.0
2560,9216,7.5,1,32,1,4,4,5,0.9,8388608,3584,12800,50,300,100,500,-1082.736111709321,406508155.0
3072,8192,0.1,200,64,1,8,4,10,0.9,8388608,512,512,100,500,75,500,-1015.1278700864974,409738795.0
4096,8192,1.1,200,8,8,8,4,5,0.9,1048576,3584,6656,1000,150,125,6000,-1061.1080294386124,412880077.0
3584,29696,3.0,1,16,4,4,4,10,0.9,1048576,12800,12800,2000,200,115,6000,-1076.8256857134534,415855796.0
4096,5120,2.5,1,16,2,4,4,10,0.9,3145728,12800,2560,2000,150,75,6000,-984.6240027084752,419071023.0
3584,9216,2.5,1,8,4,4,4,10,0.9,3145728,5632,1536,2000,250,85,8000,-1070.8249484058692,422330826.0
2560,13312,2.5,400,64,1,8,4,10,0.9,6291456,10752,13824,500,200,85,3000,-1014.1956633049035,425631582.0
3072,5120,0.5,1,16,8,4,4,5,0.9,6291456,3584,15872,1500,250,100,3000,-1028.600930857735,428793658.0
1792,5120,8.0,200,64,2,4,4,10,0.9,3145728,13824,512,100,300,125,500,-1042.8917266942542,432096294.0
4096,6990,6.0,1,64,8,8,4,10,0.9,3145728,2560,13824,2000,150,125,3000,-996.2410931838021,435077822.0
3584,5120,8.0,200,16,4,4,4,10,0.9,4194304,3584,2560,2000,150,75,1000,-939.6441603051123,437780939.0
1024,12288,6.0,1,20,4,4,4,10,0.9,3145728,5632,8192,50,150,75,1000,-926.5407686084701,441232192.0
896,35840,1.5,100,20,4,4,10,5,0.9,1048576,8704,1536,100,500,85,3000,-939.2030552525274,444189329.0
2048,7168,0.5,100,20,8,8,4,5,0.9,524288,5632,8192,1500,200,125,3000,-1052.4526408772788,447430304.0
4608,23552,3.0,1,8,4,4,4,5,0.9,1572864,15872,9728,100,200,75,500,-1030.5834967977821,450614544.0
3072,30720,6.5,400,20,16,8,4,10,0.9,3145728,13824,8704,2000,250,95,8000,-993.8519151646252,453850410.0
1024,10240,3.5,1,24,2,4,4,10,0.9,2016383,12800,12800,500,250,75,1000,-975.2206862886884,456950523.0
896,46080,4.0,400,20,2,8,4,10,0.9,6291456,6656,4608,1500,150,100,1000,-939.0158526072186,460240879.0
3584,30720,2.5,100,20,2,4,10,10,0.9,3145728,11776,9728,1000,500,115,8000,-953.7685536470606,463346586.0
1280,5120,1.0,100,8,8,8,4,10,0.9,524288,512,1536,100,150,75,1000,-950.9747449729091,467069082.0
4096,6990,1.1,200,8,8,4,4,5,0.9,2016383,1024,8192,100,250,100,1000,-1024.143731640661,470714376.0
