shared_buffers,work_mem,random_page_cost,effective_io_concurrency,max_wal_size,max_parallel_workers_per_gather,max_parallel_workers,max_worker_processes,checkpoint_timeout,checkpoint_completion_target,effective_cache_size,temp_buffers,wal_buffers,bgwriter_lru_maxpages,bgwriter_delay,default_statistics_target,deadlock_timeout,cost,time,status,seed
2048,13312,0.5,300,64,16,4,10,10,0.9,4194304,9728,2560,100,500,75,500,-1005.1719618086004,0.1,SUCCESS,1
6656,25600,8.0,400,20,1,4,10,5,0.9,524288,2560,512,50,500,125,3000,-1001.9632181042234,0.1,SUCCESS,1
896,10240,3.5,300,64,8,4,4,5,0.9,2016383,12800,12800,2000,500,75,1000,-889.778271175045,0.1,SUCCESS,1
5632,40960,3.0,1,8,8,8,4,10,0.9,8388608,512,11776,500,300,85,3000,-1010.6094069316848,0.1,SUCCESS,1
3584,15360,1.0,300,20,2,4,4,10,0.9,2016383,12800,14848,500,150,75,8000,-980.0960151837774,0.1,SUCCESS,1
4096,6990,1.1,300,8,2,4,4,5,0.9,2016383,1024,8192,100,200,100,1000,-1071.3915174202268,0.1,SUCCESS,1
1536,12288,3.5,200,8,1,4,4,5,0.9,4194304,12800,512,500,500,85,1000,-1007.2638801945266,0.1,SUCCESS,1
3584,46080,3.5,1,16,4,4,4,5,0.9,524288,14848,10752,100,200,95,1000,-1109.1064902374003,0.1,SUCCESS,1
896,27648,6.5,100,16,16,4,4,5,0.9,524288,7680,4608,100,500,95,6000,-989.617326464981,0.1,SUCCESS,1
3584,51200,3.0,1,64,8,8,4,5,0.9,2016383,10752,2560,100,250,95,3000,-1024.3866147740969,0.1,SUCCESS,1
3072,5120,5.0,200,16,1,8,10,5,0.9,4194304,5632,15872,500,500,85,6000,-996.3899783401424,0.1,SUCCESS,1
3584,5120,3.0,1,16,2,4,4,10,0.9,3145728,12800,2560,2000,150,75,6000,-1122.256708797668,0.1,SUCCESS,1
5120,4096,0.1,1,64,1,4,4,10,0.9,3145728,12800,512,2000,200,75,8000,-1071.4897565646706,0.1,SUCCESS,1
4096,25600,7.0,100,8,4,4,10,5,0.9,1572864,12800,3584,100,200,115,500,-1069.2850386801863,0.1,SUCCESS,1
3072,6990,4.0,200,64,1,4,10,5,0.9,1048576,9728,13824,50,300,75,3000,-1052.8946940603887,0.1,SUCCESS,1
4096,11264,1.0,200,32,8,8,10,5,0.9,524288,512,512,2000,150,85,1000,-1071.4792096515698,0.1,SUCCESS,1
4096,19456,7.0,100,20,1,4,10,10,0.9,6291456,3584,512,100,200,75,6000,-1055.629822676658,0.1,SUCCESS,1
1024,9216,8.0,100,4,2,8,4,10,0.9,2016383,12800,2560,2000,200,95,1000,-1012.0541331219886,0.1,SUCCESS,1
3584,6144,4.5,300,64,2,4,4,5,0.9,8388608,13824,12800,2000,150,115,3000,-1056.012277129214,0.1,SUCCESS,1
3584,9216,3.0,200,8,16,4,10,10,0.9,3145728,9728,8192,1500,150,75,1000,-1036.531210159563,0.1,SUCCESS,1
2048,13312,1.0,200,64,1,4,4,10,0.9,4194304,9728,1536,100,500,75,500,-1047.0899088291249,0.1,SUCCESS,1
1024,10240,3.0,300,24,8,4,4,10,0.9,2016383,13824,10752,2000,250,75,6000,-1035.5039917558663,0.1,SUCCESS,1
3072,5120,4.0,200,16,1,8,4,5,0.9,4194304,5632,15872,500,300,85,6000,-993.5778182592804,0.1,SUCCESS,1
