compaction_throughput_mb_per_sec,concurrent_compactors,concurrent_reads,concurrent_writes,file_cache_size_in_mb,memtable_heap_space_in_mb,memtable_offheap_space_in_mb,memtable_allocation_type,row_cache_size_in_mb,sstable_preemptive_open_interval_in_mb,Throughput,Timestamp
64,7,42,60,1024,3754,3413,heap_buffers,0,60,-2405.0,165502954.0
64,7,41,60,512,3754,3413,heap_buffers,0,60,-1625.0,166769430.0
64,7,41,60,1024,3754,3413,heap_buffers,0,50,-1127.0,168036619.0
64,3,43,40,256,2389,4096,heap_buffers,4,40,-5192.0,169097879.0
64,7,41,60,1024,3754,3413,heap_buffers,0,70,-1271.0,170415116.0
64,7,41,60,1024,4096,3413,heap_buffers,1,60,-1304.0,171637851.0
64,3,62,48,2048,2048,1706,heap_buffers,15,40,-2988.0,172820094.0
64,9,41,60,1024,4096,3413,heap_buffers,0,60,-1779.0,174057242.0
64,7,41,60,256,4096,3413,heap_buffers,0,60,-1481.0,175393032.0
32,9,64,32,1024,1706,1024,offheap_objects,16,50,-1970.0,176624978.0
64,7,41,60,1024,3754,3413,heap_buffers,3,60,-1359.0,177847822.0
64,7,41,60,2048,4096,3413,heap_buffers,0,60,-1316.0,179138680.0
32,7,41,60,1024,4096,3413,heap_buffers,0,60,-1281.0,180429709.0
64,7,41,60,1024,4096,3072,heap_buffers,0,60,-4099.0,181531303.0
64,7,44,60,1024,4096,3413,heap_buffers,0,60,-1829.0,182694924.0
64,7,41,60,1024,4096,3413,offheap_objects,0,60,-1335.0,184050506.0
64,7,41,60,1024,4096,2389,heap_buffers,0,60,-1721.0,185290763.0
64,7,41,60,1024,3072,3413,heap_buffers,0,60,-809.0,186641941.0
64,14,30,11,256,3413,2048,heap_buffers,10,0,-1874.0,187822191.0
64,7,41,60,1024,4096,4096,heap_buffers,0,60,-1006.0,189143946.0
64,6,41,60,1024,4096,3413,heap_buffers,0,60,-920.0,190468600.0
64,7,41,60,1024,4096,3413,heap_buffers,0,50,-1042.0,191791661.0
64,7,41,60,1024,4096,2730,heap_buffers,0,60,-824.0,193079837.0
64,3,41,60,1024,3754,3413,offheap_buffers,0,60,-1119.0,194368601.0
16,4,11,19,2048,2389,2730,offheap_buffers,12,0,-649.0,195719900.0
64,7,41,64,1024,4096,3413,heap_buffers,0,60,-840.0,197043471.0
64,4,42,46,256,3413,2048,heap_buffers,1,60,-11121.0,198096908.0
64,7,41,60,512,4096,3413,heap_buffers,0,60,-1461.0,199330547.0
64,7,46,60,1024,3754,3413,heap_buffers,0,60,-1461.0,200623409.0
16,6,33,41,256,3754,3072,heap_buffers,3,70,-910.0,201930370.0
64,4,42,56,256,3413,2048,heap_buffers,1,60,-746.0,203217901.0
64,5,42,46,256,3413,2048,heap_buffers,1,60,-2919.0,204398020.0
64,4,42,46,256,3413,2048,heap_buffers,1,50,-1400.0,205683596.0
64,7,41,60,1024,3754,3413,heap_buffers,2,60,-1107.0,206997300.0
