compaction_throughput_mb_per_sec,concurrent_compactors,concurrent_reads,concurrent_writes,file_cache_size_in_mb,memtable_heap_space_in_mb,memtable_offheap_space_in_mb,memtable_allocation_type,row_cache_size_in_mb,sstable_preemptive_open_interval_in_mb,Throughput,Timestamp
16,3,43,14,1024,4096,3413,offheap_buffers,6,80,-966.0,71437992.0
16,4,60,15,256,3072,2730,offheap_buffers,9,70,-1078.0,74630840.0
64,7,44,50,1024,4096,3754,offheap_buffers,8,0,-1164.0,77747376.0
16,6,35,28,256,2048,4096,offheap_buffers,7,60,-1775.0,80720963.0
16,7,45,14,256,3754,3754,offheap_buffers,16,60,-1211.0,83861142.0
16,7,44,14,256,4096,3413,heap_buffers,9,60,-1283.0,86948363.0
64,7,44,14,256,4096,3413,offheap_buffers,9,60,-924.0,90142638.0
16,6,50,16,256,4096,3413,offheap_buffers,11,60,-1362.0,93185742.0
16,7,42,17,256,4096,3413,offheap_buffers,9,60,-1118.0,96368555.0
16,7,44,14,256,4096,3754,offheap_buffers,9,60,-1176.0,99433870.0
32,8,34,9,512,1706,3754,offheap_buffers,0,90,-753.0,102678195.0
16,7,44,14,256,3413,3413,offheap_buffers,9,60,-884.0,105866490.0
64,4,10,11,1024,3754,4096,offheap_objects,1,90,-1419.0,108931655.0
16,7,44,14,256,4096,2730,offheap_buffers,9,60,-717.0,112064587.0
64,6,22,57,256,3072,1365,heap_buffers,5,90,-39345.0,113981415.0
32,8,13,56,512,3072,1365,heap_buffers,1,90,-1021.0,117117110.0
16,14,15,58,1024,1365,1024,heap_buffers,0,50,-923.0,120310660.0
16,6,22,57,256,3072,1365,heap_buffers,5,90,-941.0,123499644.0
64,6,22,57,512,3072,1365,heap_buffers,5,90,-862.0,126659068.0
64,5,22,57,256,1024,1365,offheap_objects,6,90,-1168.0,129753591.0
64,4,20,57,256,3072,1365,heap_buffers,0,90,-2783.0,132709744.0
64,7,22,57,256,3072,1365,heap_buffers,5,90,-868.0,135905361.0
64,6,22,64,256,3072,1365,heap_buffers,5,90,-832.0,139072643.0
64,6,24,57,256,3072,1365,heap_buffers,5,90,-1358.0,142091641.0
64,6,20,57,256,3072,1365,heap_buffers,3,90,-1600.0,145134386.0
64,6,22,57,256,2389,1365,heap_buffers,5,90,-995.0,148288961.0
64,6,23,57,256,3072,1365,heap_buffers,5,90,-3296.0,151199663.0
64,6,22,57,256,3072,1024,offheap_objects,5,10,-942.0,154434383.0
64,5,22,57,256,3754,1365,heap_buffers,9,80,-1859.0,157464941.0
64,6,22,57,256,3754,1365,heap_buffers,9,90,-770.0,160670031.0
64,6,22,57,256,3072,1024,heap_buffers,5,90,-1017.0,163793142.0
64,6,22,57,256,3072,1365,heap_buffers,5,100,-897.0,167011009.0
64,6,22,39,256,3072,1365,heap_buffers,5,90,-942.0,170247268.0
64,6,22,57,256,3072,1365,heap_buffers,5,60,-990.0,173366209.0
32,6,22,57,256,3072,1365,heap_buffers,5,90,-2438.0,176387923.0
64,6,22,57,256,3072,1365,offheap_buffers,5,90,-902.0,179520307.0
64,6,22,57,256,2730,1365,heap_buffers,5,90,-969.0,182745952.0
32,6,34,43,2048,2048,1706,heap_buffers,0,70,-5372.0,185541455.0
64,6,22,57,256,3072,1706,heap_buffers,5,90,-855.0,188786217.0
