shared_buffers,work_mem,random_page_cost,max_wal_size,max_parallel_workers_per_gather,effective_cache_size,temp_buffers,wal_buffers,Throughput,Timestamp
768,5120,0.1,16,8,1572864,3584,512,-1111.5219924765656,166793332.0
5120,29696,0.5,4,16,1572864,4608,2560,-1153.0565662854053,168707673.0
3584,8192,2.0,16,4,524288,3584,4608,-1115.2565504996855,170639870.0
3072,6990,3.5,4,2,1048576,6656,6656,-1114.6876583309866,172571771.0
3072,6144,0.1,24,4,524288,6656,1536,-1154.1630130280905,174513919.0
2560,10240,0.1,20,2,1572864,13824,512,-1134.3690883189074,176438837.0
3584,35840,1.5,20,8,1048576,10752,9728,-1125.256156923752,178375243.0
7680,6990,3.5,4,1,524288,6656,6656,-1058.635649522118,180300082.0
3584,6990,0.1,32,8,524288,13824,9728,-1151.5478183035716,182224980.0
1536,6144,2.5,32,8,6291456,1024,10752,-1090.7380499886742,184137605.0
4096,6990,3.5,8,2,524288,512,1536,-1159.5575421668377,186253063.0
3584,4096,0.5,20,1,524288,12800,2560,-1146.6021949588658,188150981.0
3072,5120,1.1,16,8,524288,3584,512,-1161.817329474289,190047800.0
2048,9216,3.5,8,2,524288,512,13824,-1180.791950259914,191974714.0
3072,9216,3.5,16,2,524288,512,13824,-1160.2286608086379,193866292.0
640,7168,3.0,8,1,524288,1024,13824,-1099.093070214116,195789082.0
1792,29696,3.5,16,4,524288,512,11776,-1160.0844675275534,197670153.0
2560,13312,3.5,16,8,1572864,512,14848,-1150.390147888452,199583201.0
3584,25600,0.1,20,8,1048576,10752,9728,-1149.6706504414299,201485931.0
2048,6144,3.5,8,4,1048576,512,13824,-1143.2659230203517,203413459.0
2560,6990,3.5,8,8,524288,2560,512,-1115.2414154195044,205290714.0
2048,19456,1.5,64,2,524288,512,9728,-1153.7828923421282,207198365.0
1024,15360,3.5,4,1,524288,11776,11776,-1068.2248469411948,209065839.0
1792,19456,1.0,32,16,4194304,512,8704,-1153.9458275480329,210921939.0
3072,27648,6.5,8,8,524288,512,11776,-1044.7073257403479,212809984.0
3072,6990,1.5,16,8,524288,1536,512,-1146.4929079844644,214844489.0
3584,23552,0.1,20,8,1048576,10752,10752,-1085.867779725363,216728135.0
2048,29696,5.0,24,8,524288,8704,11776,-1137.7880584262587,218628911.0
2560,8192,8.0,16,2,524288,512,12800,-1105.2413443396072,220537536.0
1280,51200,1.5,64,8,3145728,6656,15872,-1080.0662790380798,221956592.0
1792,6990,3.0,16,2,524288,2560,14848,-1178.516087317979,223961447.0
1792,7168,3.0,8,2,524288,512,12800,-1179.2645250873493,225850336.0
2048,27648,6.0,4,2,524288,10752,13824,-1182.3201576537203,227774085.0
1536,25600,3.0,64,2,524288,2560,15872,-1178.857929607187,229658374.0
1536,30720,6.0,4,2,524288,10752,13824,-1169.3710269895319,231577256.0
2048,27648,6.0,4,2,524288,10752,12800,-1160.724520557277,233480753.0
1536,8192,3.0,4,1,524288,4608,12800,-1124.199010649382,235399648.0
2048,35840,0.1,64,2,524288,8704,14848,-1118.9249611626997,237292317.0
1536,7168,3.0,16,2,524288,512,8704,-1099.4917154813857,239208251.0
4096,13312,6.0,24,16,8388608,2560,7680,-1106.6320423603697,241106179.0
1536,25600,2.0,64,2,524288,2560,15872,-1143.4103885370482,243001073.0
2048,6990,6.5,4,2,524288,512,13824,-1102.1740897180932,245003859.0
1792,4096,3.0,32,8,524288,1024,11776,-1140.1104323372774,246907084.0
6656,6990,5.5,16,2,524288,1024,12800,-1138.0297243483367,248825775.0
1536,8192,4.0,32,2,3145728,512,11776,-1188.4304991271301,250796412.0
1792,8192,5.5,8,2,3145728,512,11776,-1200.786501516495,252721945.0
3584,30720,3.0,8,2,3145728,15872,7680,-1221.623021150148,254623991.0
7168,30720,2.5,4,2,4194304,15872,6656,-1197.9134303740323,256546865.0
6144,17408,1.1,8,16,1572864,15872,9728,-1145.4059552542353,258448959.0
2560,27648,1.5,4,1,3145728,15872,6656,-1196.3272936351905,260616011.0
2560,5120,5.0,8,2,2016383,15872,8192,-1180.1461802120027,262515091.0
3072,30720,6.0,64,1,2016383,15872,7680,-1169.0758719961977,264446956.0
768,30720,3.5,4,8,4194304,15872,5632,-1120.104668253,266366447.0
7168,30720,2.5,16,2,4194304,15872,6656,-1167.8197571373328,268285346.0
