block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,cost,time,status,seed
524288,False,200000,zstd,8,512,512,-1,5,1,32,2,512,-4459,0.1,SUCCESS,1
32768,False,400000,snappy,2,4,512,64,4,8,64,16,8388608,-74845,0.1,SUCCESS,1
32768,False,80000,snappy,256,4,36,4,2,6,8,16,8,-8123,0.1,SUCCESS,1
256,True,280000,snappy,64,2,128,8,7,5,64,1,512,-1012,0.1,SUCCESS,1
1024,False,400000,snappy,64,1,1,1,3,1,128,2,8,-43418,0.1,SUCCESS,1
524288,True,400000,snappy,4,1024,8,256,0,2,8,16,512,-7026,0.1,SUCCESS,1
524288,True,320000,zstd,2,20,512,4,7,5,64,1,131072,-3169,0.1,SUCCESS,1
16,False,360000,zstd,256,256,64,128,6,0,32,4,512,-9829,0.1,SUCCESS,1
16,True,0,snappy,2,0,128,128,7,4,64,16,8,-585,0.1,SUCCESS,1
512,True,120000,snappy,64,64,1024,1,10,9,64,4,256,-1802,0.1,SUCCESS,1
8192,True,120000,snappy,16,1024,16,128,1,6,128,2,16,-21597,0.1,SUCCESS,1
64,True,320000,snappy,4,0,512,64,0,8,2,2,4194304,-1277,0.1,SUCCESS,1
32768,False,280000,zstd,64,512,64,16,8,3,128,2,1,-7618,0.1,SUCCESS,1
32768,False,280000,lz4,16,128,128,2,6,10,1,1,64,-31537,0.1,SUCCESS,1
2048,True,400000,zstd,1,8,256,32,11,9,4,4,2097152,-4002,0.1,SUCCESS,1
16384,True,320000,lz4,8,32,128,128,3,9,4,1,8,-37877,0.1,SUCCESS,1
256,True,240000,snappy,8,64,1,4,2,1,8,16,32768,-1044,0.1,SUCCESS,1
16,False,240000,snappy,16,20,512,128,11,6,8,32,1073741824,-127613,0.1,SUCCESS,1
32768,True,280000,zstd,2,0,64,-1,3,3,1,32,4194304,-30035,0.1,SUCCESS,1
32,True,280000,zstd,128,1,128,256,9,3,16,8,134217728,-412,0.1,SUCCESS,1
16,True,240000,lz4,1,64,256,16,1,9,1,1,16384,-574,0.1,SUCCESS,1
524288,False,400000,snappy,8,0,32,2,11,2,2,2,131072,-13309,0.1,SUCCESS,1
32,False,240000,snappy,1,1024,16,1,7,5,64,8,1048576,-45077,0.1,SUCCESS,1
262144,False,200000,lz4,16,4,4,32,11,10,16,1,512,-17771,0.1,SUCCESS,1
16,True,240000,lz4,2,64,128,256,5,10,128,32,128,-704,0.1,SUCCESS,1
131072,True,0,zstd,2,128,1024,64,9,6,32,1,134217728,-27832,0.1,SUCCESS,1
1,True,80000,lz4,2,1,1024,-1,11,9,1,2,536870912,-2611,0.1,SUCCESS,1
16,False,280000,zstd,4,128,64,16,2,2,32,8,4194304,-38299,0.1,SUCCESS,1
131072,False,80000,lz4,8,0,16,16,2,9,4,32,536870912,-75143,0.1,SUCCESS,1
4,False,360000,snappy,1,256,4,32,0,1,4,16,16384,-44133,0.1,SUCCESS,1
65536,True,200000,zstd,1,4,1,64,11,4,128,1,65536,-1905,0.1,SUCCESS,1
16384,False,80000,snappy,128,32,2,2,0,6,2,4,16,-21287,0.1,SUCCESS,1
1,False,160000,zstd,32,64,128,4,8,0,128,2,2048,-17501,0.1,SUCCESS,1
64,False,0,snappy,256,8,256,8,2,6,2,16,8,-9630,0.1,SUCCESS,1
128,True,40000,zstd,16,1,2,8,10,6,32,4,128,-280,0.1,SUCCESS,1
4,False,40000,zstd,256,8,1024,8,1,4,2,8,1048576,-9029,0.1,SUCCESS,1
65536,True,320000,snappy,128,2,36,256,2,3,32,32,16,-11604,0.1,SUCCESS,1
128,True,160000,lz4,2,2,4,2,1,9,64,1,4194304,-713,0.1,SUCCESS,1
16384,False,240000,snappy,16,1024,128,8,11,8,128,8,8388608,-37507,0.1,SUCCESS,1
32,True,200000,lz4,256,0,32,1,11,10,16,4,33554432,-1149,0.1,SUCCESS,1
8192,False,40000,zstd,16,64,36,64,8,9,1,32,16777216,-27757,0.1,SUCCESS,1
256,False,400000,zstd,8,20,8,4,6,1,8,2,8388608,-57273,0.1,SUCCESS,1
512,False,0,snappy,4,16,16,64,6,2,1,16,67108864,-149982,0.1,SUCCESS,1
