block_size,cache_index_and_filter_blocks,compaction_readahead_size,compression_type,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,max_background_compactions,max_background_flushes,max_bytes_for_level_multiplier,max_write_buffer_number,min_write_buffer_number_to_merge,write_buffer_size,cost,time,status,seed
64,False,280000,zstd,1,64,8,2,0,3,2,4,4,-376,0.1,SUCCESS,1
8,False,360000,zstd,1,20,16,-1,1,0,1,32,64,-811,0.1,SUCCESS,1
512,False,40000,lz4,32,32,4,32,9,10,128,2,2048,-1612,0.1,SUCCESS,1
512,True,320000,zstd,64,128,512,32,9,5,2,2,4194304,-598,0.1,SUCCESS,1
262144,False,360000,lz4,128,32,32,2,1,3,8,4,4096,-3361,0.1,SUCCESS,1
1024,False,280000,zstd,1,20,128,256,4,1,64,1,2048,-955,0.1,SUCCESS,1
4,True,280000,snappy,64,8,64,1,11,8,8,16,33554432,-85,0.1,SUCCESS,1
4096,False,280000,lz4,16,256,256,128,2,3,64,32,2048,-6119,0.1,SUCCESS,1
1024,True,0,lz4,128,4,36,64,9,0,8,4,8,-2884,0.1,SUCCESS,1
1024,True,40000,zstd,1,1,64,2,0,6,8,16,1048576,-2398,0.1,SUCCESS,1
32,True,120000,zstd,2,0,1,2,7,7,8,4,16384,-36,0.1,SUCCESS,1
16384,False,0,lz4,1,1024,1024,16,4,4,32,2,4096,-1021,0.1,SUCCESS,1
8192,True,120000,zstd,256,512,512,256,4,7,1,4,4,-3556,0.1,SUCCESS,1
4096,False,160000,lz4,8,16,16,64,8,1,1,8,536870912,-1004,0.1,SUCCESS,1
4096,False,280000,lz4,256,20,256,64,0,3,128,2,1073741824,-1082,0.1,SUCCESS,1
16,True,320000,zstd,1,8,16,16,7,4,64,16,8388608,-41,0.1,SUCCESS,1
4,False,400000,lz4,8,2,16,-1,2,1,1,2,2097152,-1594,0.1,SUCCESS,1
2048,False,120000,snappy,32,8,2,4,5,1,128,4,16384,-3670,0.1,SUCCESS,1
32768,True,400000,lz4,32,256,512,32,7,5,32,4,1,-5705,0.1,SUCCESS,1
131072,False,160000,snappy,8,16,16,16,3,1,8,8,134217728,-789,0.1,SUCCESS,1
128,True,320000,snappy,1,20,32,8,0,5,1,16,67108864,-88,0.1,SUCCESS,1
2048,True,240000,lz4,64,256,8,2,8,2,1,8,67108864,-864,0.1,SUCCESS,1
524288,False,160000,snappy,8,4,1024,2,11,9,16,2,1,-1949,0.1,SUCCESS,1
65536,True,320000,snappy,256,64,36,16,7,5,32,4,131072,-5058,0.1,SUCCESS,1
128,False,200000,snappy,4,2,36,2,11,6,2,4,16777216,-366,0.1,SUCCESS,1
64,False,80000,zstd,4,32,16,4,6,2,64,2,4194304,-1312,0.1,SUCCESS,1
4,False,320000,snappy,32,16,32,8,11,6,1,2,4096,-1137,0.1,SUCCESS,1
32,False,200000,lz4,32,20,2,128,3,7,16,8,268435456,-883,0.1,SUCCESS,1
64,True,120000,lz4,4,32,8,1,6,0,1,32,4096,-56,0.1,SUCCESS,1
4,False,120000,lz4,1,64,8,256,1,10,2,4,4096,-472,0.1,SUCCESS,1
4096,True,360000,zstd,1,64,2,1,6,5,64,16,4096,-1818,0.1,SUCCESS,1
1,True,40000,zstd,2,0,8,64,8,8,2,2,2048,-24,0.1,SUCCESS,1
131072,False,120000,lz4,32,16,512,256,6,2,16,8,1024,-4267,0.1,SUCCESS,1
