compaction_throughput_mb_per_sec,concurrent_compactors,concurrent_reads,concurrent_writes,file_cache_size_in_mb,memtable_heap_space_in_mb,memtable_offheap_space_in_mb,memtable_allocation_type,row_cache_size_in_mb,sstable_preemptive_open_interval_in_mb,Throughput,Timestamp
16,7,46,25,2048,3413,3413,offheap_buffers,4,10,-445.0,156004225.0
16,7,45,25,2048,3413,3413,offheap_buffers,4,30,-262.0,157372821.0
16,7,45,25,2048,2730,3413,offheap_buffers,4,10,-469.0,158739660.0
16,5,45,24,2048,3413,3413,offheap_buffers,4,10,-398.0,160099851.0
16,7,45,25,2048,3413,3754,offheap_buffers,4,10,-550.0,161427582.0
16,7,45,25,2048,3072,3413,offheap_buffers,4,10,-447.0,162773549.0
16,7,56,25,2048,3413,3413,offheap_buffers,4,10,-262.0,164154490.0
16,7,45,25,2048,3413,3413,offheap_objects,4,10,-547.0,165513436.0
16,7,45,25,2048,3413,3413,offheap_buffers,5,10,-251.0,166878233.0
16,7,45,25,2048,3413,4096,offheap_buffers,4,10,-522.0,168246793.0
16,2,43,25,2048,3413,3413,offheap_buffers,4,10,-397.0,169607915.0
16,9,45,25,2048,3413,3413,offheap_buffers,4,10,-616.0,170964665.0
16,7,45,25,2048,4096,3413,offheap_buffers,4,10,-14751.0,171811156.0
16,9,35,11,1024,4096,3413,offheap_buffers,4,60,-401.0,173181867.0
16,7,13,53,256,4096,3413,offheap_buffers,4,10,-406.0,174540514.0
32,7,45,24,2048,4096,3413,heap_buffers,13,10,-817.0,175719038.0
16,11,55,25,2048,4096,4096,offheap_buffers,4,0,-258.0,177094199.0
32,7,45,25,2048,4096,3413,offheap_buffers,4,10,-231.0,178472896.0
64,4,55,63,256,1365,4096,heap_buffers,0,10,-286.0,179852022.0
16,7,45,26,2048,4096,3413,offheap_buffers,4,10,-250.0,181239110.0
16,2,45,25,2048,4096,3413,offheap_buffers,15,70,-315.0,182613080.0
16,16,22,30,1024,2048,3754,offheap_objects,15,10,-323.0,183982711.0
16,8,45,25,2048,4096,3413,offheap_buffers,4,10,-430.0,185346324.0
16,6,45,11,2048,4096,3413,offheap_objects,3,10,-584.0,186623748.0
16,7,45,25,256,4096,3413,offheap_buffers,4,10,-679.0,187975635.0
