dbms-memory-heap-max_size,dbms-memory-pagecache-size,dbms-memory-off_heap-max_size,dbms-tx_state-memory_allocation,dbms-memory-pagecache-flush-buffer-enabled,dbms-memory-pagecache-flush-buffer-size_in_pages,dbms-jvm-additional-1,dbms-jvm-additional-2,Throughput,Timestamp
12100,16000,4.5,OFF_HEAP,true,8,-XX:+UseParallelGC,-XX:SurvivorRatio=2,-8.25,213358540.0
24100,4000,3.0,OFF_HEAP,true,32,-XX:+UseG1GC,-XX:SurvivorRatio=12,-8.33,215024068.0
20100,36000,3.5,ON_HEAP,false,256,-XX:+UseParallelGC,-XX:SurvivorRatio=2,-8.32,216711878.0
4100,16000,4.0,ON_HEAP,true,512,-XX:+UseSerialGC,,-8.06,218453394.0
4100,28000,1.5,OFF_HEAP,true,256,-XX:+UseParallelGC,-XX:SurvivorRatio=2,-8.34,220107787.0
8100,12000,3.5,ON_HEAP,false,16,-XX:+UseG1GC,-XX:SurvivorRatio=2,-8.35,221793691.0
4100,28000,3.0,OFF_HEAP,false,128,-XX:+UseG1GC,-XX:SurvivorRatio=12,-8.16,223472991.0
24100,12000,1.5,OFF_HEAP,false,32,-XX:+UseParallelGC,-XX:SurvivorRatio=12,-8.4,225203989.0
32100,20000,2.0,ON_HEAP,false,1,-XX:+UseG1GC,-XX:SurvivorRatio=2,-8.43,226928201.0
8100,16000,1.5,ON_HEAP,false,128,-XX:+UseParallelGC,-XX:SurvivorRatio=2,-8.37,228612486.0
32100,36000,4.5,ON_HEAP,false,256,-XX:+UseParallelGC,-XX:SurvivorRatio=4,0,228912495.0
20100,16000,1.0,OFF_HEAP,true,128,-XX:+UseParallelGC,-XX:SurvivorRatio=12,-8.16,230572044.0
36100,8000,3.5,ON_HEAP,false,16,-XX:+UseParallelGC,-XX:SurvivorRatio=8,-8.25,232333383.0
12100,32000,4.5,ON_HEAP,true,2,-XX:+UseParallelGC,-XX:SurvivorRatio=12,-8.29,234020583.0
4100,20000,2.0,ON_HEAP,true,512,-XX:+UseParallelGC,-XX:SurvivorRatio=12,-8.28,235707834.0
28100,28000,2.0,ON_HEAP,false,4,-XX:+UseG1GC,,-8.43,237427653.0
28100,16000,2.5,ON_HEAP,false,256,-XX:+UseParallelGC,-XX:SurvivorRatio=2,-8.33,239184911.0
28100,8000,4.5,ON_HEAP,true,8,-XX:+UseParallelGC,-XX:SurvivorRatio=12,-8.47,240934300.0
36100,12000,1.0,OFF_HEAP,false,4,-XX:+UseParallelGC,-XX:SurvivorRatio=4,-8.3,242683529.0
16100,8000,1.0,ON_HEAP,false,128,-XX:+UseG1GC,-XX:SurvivorRatio=12,-8.28,244374310.0
36100,36000,3.0,OFF_HEAP,false,8,-XX:+UseG1GC,-XX:SurvivorRatio=4,0,244674327.0
4100,12000,3.0,OFF_HEAP,false,2,-XX:+UseG1GC,-XX:SurvivorRatio=4,-8.15,246281245.0
16100,12000,0.5,ON_HEAP,false,8,-XX:+UseParallelGC,-XX:SurvivorRatio=8,-8.48,247936789.0
20100,16000,1.0,ON_HEAP,false,2,-XX:+UseParallelGC,-XX:SurvivorRatio=4,-8.32,249637946.0
8100,28000,1.5,ON_HEAP,false,32,-XX:+UseG1GC,-XX:SurvivorRatio=4,-8.34,251324928.0
20100,32000,3.0,OFF_HEAP,false,512,-XX:+UseG1GC,-XX:SurvivorRatio=8,-8.34,253024837.0
28100,4000,2.0,ON_HEAP,true,2,-XX:+UseParallelGC,,-8.41,254693918.0
4100,36000,1.5,OFF_HEAP,true,8,-XX:+UseG1GC,-XX:SurvivorRatio=8,-8.2,256374344.0
4100,12000,4.0,OFF_HEAP,false,32,-XX:+UseParallelGC,-XX:SurvivorRatio=2,-8.35,258042114.0
8100,28000,3.5,ON_HEAP,true,32,-XX:+UseG1GC,-XX:SurvivorRatio=12,-8.2,259733803.0
32100,36000,0.5,OFF_HEAP,true,32,-XX:+UseG1GC,-XX:SurvivorRatio=8,0,260033820.0
36100,8000,4.0,ON_HEAP,true,32,-XX:+UseSerialGC,,-8.12,261737813.0
28100,16000,0.5,ON_HEAP,true,2,-XX:+UseG1GC,-XX:SurvivorRatio=8,-8.34,263450704.0
24100,12000,4.5,OFF_HEAP,true,512,-XX:+UseSerialGC,-XX:SurvivorRatio=12,-8.2,265203160.0
